encoder,width,num_facts,seed,recall,sep_ratio,norm_margin,runtime_sec
MiniLM,32,128,42,0.546875,1.0236396643660481,0.004897763021290302,0.035790443420410156
MiniLM,32,128,101,0.484375,1.0105624453348006,0.0022358777932822704,0.030823469161987305
MiniLM,32,128,202,0.4375,0.9812390407425208,-0.0037524295039474964,0.05249905586242676
MiniLM,64,256,42,0.5859375,1.0276391748315743,0.005870671942830086,0.1873335838317871
MiniLM,64,256,101,0.6484375,1.0496053526751499,0.010366643778979778,0.14629530906677246
MiniLM,64,256,202,0.6640625,1.0721880294528607,0.013322224840521812,0.11712765693664551
MiniLM,128,512,42,0.734375,1.0703994386973306,0.014668859541416168,0.33893847465515137
MiniLM,128,512,101,0.796875,1.0853793157828369,0.017159227281808853,0.3364710807800293
MiniLM,128,512,202,0.814453125,1.0986211993374613,0.01915438286960125,0.31734156608581543
MiniLM,256,1024,42,0.7646484375,1.0814624578150545,0.01616518571972847,0.9905593395233154
MiniLM,256,1024,101,0.818359375,1.087664778188183,0.01712147518992424,0.9320077896118164
MiniLM,256,1024,202,0.7802734375,1.0899068224040573,0.01737567037343979,0.9324965476989746
MiniLM,512,2048,42,0.78173828125,1.0816666296518649,0.016265830025076866,5.564420223236084
MiniLM,512,2048,101,0.80810546875,1.0842692790016406,0.01668921299278736,14.365712404251099
MiniLM,512,2048,202,0.76513671875,1.081634038779467,0.01624779775738716,20.96203589439392
E5-small,32,128,42,0.328125,0.8781636139244666,-0.026427283883094788,0.0569760799407959
E5-small,32,128,101,0.3046875,0.9239465931358591,-0.016235429793596268,0.04508495330810547
E5-small,32,128,202,0.234375,0.923095833081418,-0.016472944989800453,0.041559696197509766
E5-small,64,256,42,0.38671875,0.9551723685699128,-0.009010455571115017,0.19321703910827637
E5-small,64,256,101,0.3828125,0.9621994158919183,-0.007955612614750862,0.12369084358215332
E5-small,64,256,202,0.4453125,0.994925429421093,-0.0010651368647813797,0.13323378562927246
E5-small,128,512,42,0.509765625,1.002671140317462,0.0005235219723545015,0.37090468406677246
E5-small,128,512,101,0.505859375,1.0005695976871647,0.00011719597387127578,0.3172495365142822
E5-small,128,512,202,0.625,1.0209936591744404,0.0042468346655368805,0.31240248680114746
E5-small,256,1024,42,0.54296875,1.0103973431527569,0.0020362224895507097,1.0209355354309082
E5-small,256,1024,101,0.4638671875,0.9972609802761694,-0.0005771040450781584,1.1095333099365234
E5-small,256,1024,202,0.5830078125,1.011896440918017,0.0023835680913180113,0.977158784866333
E5-small,512,2048,42,0.552734375,1.0105130034729077,0.0021060642320662737,7.873924016952515
E5-small,512,2048,101,0.5283203125,1.0076171903910651,0.0015507821226492524,9.295526504516602
E5-small,512,2048,202,0.5595703125,1.0088988029782096,0.0018204902298748493,4.38423228263855
MPNet,32,128,42,0.34375,0.9433144996483434,-0.012674730271100998,0.03299832344055176
MPNet,32,128,101,0.2265625,0.880039608393128,-0.028635427355766296,0.0546875
MPNet,32,128,202,0.2265625,0.90367391470215,-0.023651685565710068,0.04807019233703613
MPNet,64,256,42,0.34375,0.9519614840461591,-0.010980079881846905,0.18913006782531738
MPNet,64,256,101,0.30859375,0.9442417844020937,-0.012622139416635036,0.15235686302185059
MPNet,64,256,202,0.375,0.9760077084151222,-0.0055494955740869045,0.13327574729919434
MPNet,128,512,42,0.453125,0.9930750089723352,-0.0015505547635257244,0.4331088066101074
MPNet,128,512,101,0.39453125,0.9811785520930665,-0.004064005333930254,0.34280943870544434
MPNet,128,512,202,0.447265625,0.9901220298430525,-0.002237290609627962,0.33670735359191895
MPNet,256,1024,42,0.49609375,1.0000222415828102,4.955189069733024e-06,2.6001086235046387
MPNet,256,1024,101,0.4404296875,0.9944194933012044,-0.0012357300147414207,1.5434503555297852
MPNet,256,1024,202,0.40234375,0.9871973780710028,-0.002996204886585474,1.325697422027588
MPNet,512,2048,42,0.43359375,0.991229589922716,-0.002007156377658248,38.954692363739014
MPNet,512,2048,101,0.43359375,0.9897318214835858,-0.0023424667306244373,31.73844623565674
MPNet,512,2048,202,0.44091796875,0.9947893187405155,-0.0012063896283507347,51.62957835197449
E5-base,32,128,42,0.1640625,0.8831556985838648,-0.024222686886787415,0.11402559280395508
E5-base,32,128,101,0.2109375,0.8547732593359517,-0.028663326054811478,0.07894086837768555
E5-base,32,128,202,0.140625,0.8868202220066067,-0.025535423308610916,0.07028794288635254
E5-base,64,256,42,0.25,0.9195418518021646,-0.015609528869390488,0.3414154052734375
E5-base,64,256,101,0.3125,0.9561730008751479,-0.008510739542543888,0.16871976852416992
E5-base,64,256,202,0.24609375,0.9323727983385252,-0.014923763461411,0.16338253021240234
E5-base,128,512,42,0.353515625,0.9670242648597195,-0.006465328391641378,0.4684622287750244
E5-base,128,512,101,0.345703125,0.9417002011468597,-0.011688945814967155,0.4004795551300049
E5-base,128,512,202,0.318359375,0.967021391332979,-0.006858405657112598,0.36967968940734863
E5-base,256,1024,42,0.390625,0.9814333578684473,-0.003651190549135208,1.2419700622558594
E5-base,256,1024,101,0.40625,0.9799510229857225,-0.00402054563164711,1.149564504623413
E5-base,256,1024,202,0.38671875,0.9843012794649384,-0.0031288855243474245,1.3163533210754395
E5-base,512,2048,42,0.44384765625,0.9947103325520211,-0.0010317688575014472,47.27488708496094
E5-base,512,2048,101,0.40869140625,0.9891189270817462,-0.002219783142209053,32.87241339683533
E5-base,512,2048,202,0.43212890625,0.9901555766892084,-0.0019317828118801117,32.15934872627258
BGE-small,32,128,42,0.3125,0.8806216132591416,-0.023562105372548103,0.062140703201293945
BGE-small,32,128,101,0.296875,0.8332434482438565,-0.03152952343225479,0.04641866683959961
BGE-small,32,128,202,0.4375,0.9462631656031905,-0.010070491582155228,0.0440065860748291
BGE-small,64,256,42,0.359375,0.8968539980909876,-0.020706363022327423,0.14889264106750488
BGE-small,64,256,101,0.34765625,0.9453021692205371,-0.01001446321606636,0.15198469161987305
BGE-small,64,256,202,0.4375,0.9787724937998312,-0.003849642351269722,0.13332366943359375
BGE-small,128,512,42,0.375,0.9410222825594158,-0.011164882220327854,0.47066187858581543
BGE-small,128,512,101,0.404296875,0.9645350777876993,-0.006328584626317024,0.2933218479156494
BGE-small,128,512,202,0.41796875,0.9631298604536638,-0.006992571987211704,0.2943229675292969
BGE-small,256,1024,42,0.4609375,0.9798404016348446,-0.0037366198375821114,0.9309794902801514
BGE-small,256,1024,101,0.380859375,0.9661389276097054,-0.006204867735505104,0.949639081954956
BGE-small,256,1024,202,0.419921875,0.971307654597026,-0.0053540486842393875,1.0604045391082764
BGE-small,512,2048,42,0.42578125,0.9737299388202306,-0.0047996798530220985,7.097210168838501
BGE-small,512,2048,101,0.40673828125,0.9642920650233033,-0.0065679713152348995,11.176883220672607
BGE-small,512,2048,202,0.3701171875,0.9556773810551373,-0.008201058022677898,8.55219030380249
Random-Projection,32,128,42,0.8828125,1.203208759229896,0.05862826853990555,0.07540249824523926
Random-Projection,32,128,101,0.8984375,1.2201452827511572,0.0614483579993248,0.05558657646179199
Random-Projection,32,128,202,0.84375,1.2195023710421278,0.06221167743206024,0.0667414665222168
Random-Projection,64,256,42,0.9921875,1.3124388762061627,0.08938466012477875,0.18377208709716797
Random-Projection,64,256,101,0.984375,1.3137432961900857,0.09017286449670792,0.13293981552124023
Random-Projection,64,256,202,1.0,1.319596907884596,0.0910215899348259,0.1118462085723877
Random-Projection,128,512,42,1.0,1.392746483941323,0.11289829015731812,0.4166984558105469
Random-Projection,128,512,101,1.0,1.4022355957715567,0.11477098613977432,0.31049466133117676
Random-Projection,128,512,202,1.0,1.3894196555765999,0.11211535334587097,0.3719813823699951
Random-Projection,256,1024,42,1.0,1.4526935827023697,0.13012227416038513,1.5963404178619385
Random-Projection,256,1024,101,1.0,1.4500619091400009,0.1293855905532837,1.0981647968292236
Random-Projection,256,1024,202,1.0,1.4487716940837143,0.12948039174079895,1.0596873760223389
Random-Projection,512,2048,42,1.0,1.4985649711707032,0.14279818534851074,5.801525354385376
Random-Projection,512,2048,101,1.0,1.496434949289711,0.1421557515859604,5.02836275100708
Random-Projection,512,2048,202,1.0,1.4985383088271722,0.14265091717243195,4.959099769592285
